"filename", "language", "JavaScript", "SCSS", "JSON", "comment", "blank", "total"
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\package-lock.json", "JSON", 0, 0, 235, 0, 0, 235
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\package.json", "JSON", 0, 0, 9, 0, 0, 9
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\App.js", "JavaScript", -6, 0, 0, 0, 0, -6
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\ButtonTemplate.js", "JavaScript", 24, 0, 0, 0, 3, 27
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\CardProduct.js", "JavaScript", -38, 0, 0, 0, -2, -40
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Card\CardListProduct.js", "JavaScript", 24, 0, 0, 0, 3, 27
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Card\CardPermissionRole.js", "JavaScript", 18, 0, 0, 0, 3, 21
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Card\CardProduct.js", "JavaScript", 38, 0, 0, 0, 2, 40
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Card\CardStatic.js", "JavaScript", 232, 0, 0, 0, 3, 235
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Editor.js", "JavaScript", 68, 0, 0, 12, 9, 89
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Field\FieldInput.js", "JavaScript", 16, 0, 0, 0, 3, 19
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Field\FieldSelect.js", "JavaScript", 22, 0, 0, 0, 3, 25
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\FormUpdateCreateUser.js", "JavaScript", -112, 0, 0, 0, -5, -117
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormCategory.js", "JavaScript", 24, 0, 0, 0, 3, 27
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormCategoryRole.js", "JavaScript", 32, 0, 0, 1, 4, 37
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormComment.js", "JavaScript", 80, 0, 0, 0, 5, 85
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormEditRole.js", "JavaScript", 74, 0, 0, 0, 6, 80
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormPermission.js", "JavaScript", 53, 0, 0, 1, 8, 62
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormProduct.js", "JavaScript", 81, 0, 0, 2, 5, 88
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\Form\FormUser.js", "JavaScript", 42, 0, 0, 0, 4, 46
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\ModalUpdate.js", "JavaScript", 0, 0, 0, 0, -1, -1
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\StatisticsCard.js", "JavaScript", -232, 0, 0, 0, -3, -235
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\components\UploadFIle.js", "JavaScript", 79, 0, 0, 0, 9, 88
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\data\ConfigData.js", "JavaScript", 109, 0, 0, 0, 15, 124
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\data\dataTable.js", "JavaScript", -1002, 0, 0, 0, -1, -1003
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\hooks\useModel.js", "JavaScript", 26, 0, 0, 0, 4, 30
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\hooks\useModelControl.js", "JavaScript", 52, 0, 0, 0, 4, 56
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\hooks\useModelRemove.js", "JavaScript", 35, 0, 0, 0, 3, 38
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\index.scss", "SCSS", 0, 7, 0, 0, 1, 8
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\Banner.js", "JavaScript", -31, 0, 0, 0, -8, -39
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\DashboardAdmin.js", "JavaScript", -63, 0, 0, 0, -4, -67
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\EditorWithUseQuill.js", "JavaScript", 28, 0, 0, 1, 7, 36
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\FormComment.js", "JavaScript", -84, 0, 0, -1, -6, -91
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\MenuProduct.js", "JavaScript", -24, 0, 0, 0, -3, -27
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\Manage.js", "JavaScript", 77, 0, 0, 0, 3, 80
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageCategories.js", "JavaScript", 237, 0, 0, 3, 15, 255
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManagePermissions.js", "JavaScript", 253, 0, 0, 3, 9, 265
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageProducts.js", "JavaScript", 243, 0, 0, 18, 11, 272
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageRoles.js", "JavaScript", 252, 0, 0, 3, 13, 268
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\layouts\manage\ManageUsers.js", "JavaScript", 287, 0, 0, 9, 12, 308
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\DashboardAdmin.js", "JavaScript", 70, 0, 0, 0, 3, 73
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Detail.js", "JavaScript", 2, 0, 0, 0, -3, -1
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Home.js", "JavaScript", -2, 0, 0, 0, 0, -2
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Manage.js", "JavaScript", -75, 0, 0, 0, -3, -78
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\Product.js", "JavaScript", -3, 0, 0, -1, -1, -5
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\pages\User.js", "JavaScript", -279, 0, 0, -4, -14, -297
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\slices\authSlice.js", "JavaScript", -1, 0, 0, 0, 0, -1
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\slices\roleSlice.js", "JavaScript", 23, 0, 0, 3, 6, 32
"c:\Users\Admin\Downloads\Compressed\WORKSPACE\Project-BackEnd-Api-By-NestJs\backend-theme\src\store\store.js", "JavaScript", 2, 0, 0, 0, 0, 2
"Total", "-", 651, 7, 244, 50, 125, 1077